ID_AREAS_PRIORITARIAS_SBN_2022;AREA_M2;EXP_ALAG;EXP_DESL;EXP_INUN;EXP_ONDA;VUL_ALAG;VUL_DESL;VUL_INUN;VUL_ONDA;AC_ALAG;AC_DESL;AC_INUN;AC_ONDA;CON_AMB;CON_ANT;CON_TOT;SBN_ALAG;SBN_DESL;SBN_INUN;SBN_ONDA;GEOMETRIA
19;113328.42;0.35;4.99;0.0;2.4;1.95;3.8;;0.55;1.15;4.39;;1.48;1.25;1.67;1.46;1.31;2.93;;1.47;MULTIPOLYGON (((612549.62 7792732.20, 612661.36 7792905.30, 612559.96 7793086.11, 612346.81 7793093.82, 612235.07 7792920.71, 612336.47 7792739.90, 612549.62 7792732.20)))
20;113329.31;0.0;3.49;0.0;2.05;;3.75;;0.2;0.0;3.62;;1.13;1.25;0.0;0.63;0.0;2.13;;0.88;MULTIPOLYGON (((613189.06 7792709.09, 613300.81 7792882.20, 613199.41 7793063.01, 612986.26 7793070.71, 612874.51 7792897.60, 612975.91 7792716.79, 613189.06 7792709.09)))
21;113340.96;1.75;0.0;0.0;2.45;1.9;;;1.05;1.83;;;1.75;1.25;1.67;1.46;1.65;;;1.61;MULTIPOLYGON (((612255.74 7793628.56, 612367.49 7793801.68, 612266.08 7793982.50, 612052.93 7793990.20, 611941.18 7793817.08, 612042.59 7793636.26, 612255.74 7793628.56)))
22;113343.11;1.95;0.0;0.0;2.35;1.9;;;1.3;1.92;;;1.83;1.25;0.0;0.63;1.27;;;1.23;MULTIPOLYGON (((611941.18 7793817.08, 612052.93 7793990.20, 611951.51 7794171.03, 611738.36 7794178.73, 611626.62 7794005.60, 611728.03 7793824.78, 611941.18 7793817.08)))
23;113344.0;1.75;0.0;0.0;2.75;1.9;;;1.1;1.83;;;1.93;0.0;0.0;0.0;0.92;;;0.97;MULTIPOLYGON (((612580.64 7793793.98, 612692.39 7793967.10, 612590.99 7794147.93, 612377.83 7794155.63, 612266.08 7793982.50, 612367.49 7793801.68, 612580.64 7793793.98)))
24;113346.15;1.6;0.0;0.0;2.55;1.75;;;1.25;1.68;;;1.9;1.25;1.67;1.46;1.57;;;1.68;MULTIPOLYGON (((612266.08 7793982.50, 612377.83 7794155.63, 612276.42 7794336.45, 612063.26 7794344.15, 611951.51 7794171.03, 612052.93 7793990.20, 612266.08 7793982.50)))
25;113335.76;0.0;0.59;0.0;2.05;;3.45;;1.3;0.0;2.02;;1.67;1.25;0.0;0.63;0.0;1.33;;1.15;MULTIPOLYGON (((612245.41 7793274.63, 612357.15 7793447.74, 612255.74 7793628.56, 612042.59 7793636.26, 611930.85 7793463.14, 612032.26 7793282.33, 612245.41 7793274.63)))
26;113337.91;1.85;0.0;0.0;2.35;1.85;;;1.25;1.85;;;1.8;1.25;0.0;0.63;1.24;;;1.22;MULTIPOLYGON (((611930.85 7793463.14, 612042.59 7793636.26, 611941.18 7793817.08, 611728.03 7793824.78, 611616.29 7793651.66, 611717.70 7793470.84, 611930.85 7793463.14)))
27;113546.92;0.25;0.0;0.0;1.7;3.9;;;2.65;2.08;;;2.17;2.5;1.67;2.09;2.09;;;2.13;MULTIPOLYGON (((613623.81 7807582.91, 613735.63 7807756.25, 613634.17 7807937.28, 613420.88 7807944.96, 613309.06 7807771.62, 613410.53 7807590.59, 613623.81 7807582.91)))
28;113558.48;0.0;0.0;0.0;2.0;;;;1.7;0.0;;;1.85;2.5;0.0;1.25;0.0;;;1.55;MULTIPOLYGON (((612689.88 7808503.43, 612801.69 7808676.79, 612700.22 7808857.83, 612486.92 7808865.51, 612375.11 7808692.15, 612476.59 7808511.12, 612689.88 7808503.43)))
